2025-04-13 21:46:55.446 | ERROR    | proxy_tester:test_proxy:41 - Proxy 41.40.175.222:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCF390>, 'Connection to 41.40.175.222 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.448 | ERROR    | proxy_tester:test_proxy:41 - Proxy 15.235.132.246:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCF4D0>, 'Connection to 15.235.132.246 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.449 | ERROR    | proxy_tester:test_proxy:41 - Proxy 38.188.100.17:999 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCF750>, 'Connection to 38.188.100.17 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.449 | ERROR    | proxy_tester:test_proxy:41 - Proxy 94.20.21.7:4153 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCFC50>, 'Connection to 94.20.21.7 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.449 | ERROR    | proxy_tester:test_proxy:41 - Proxy 38.156.74.164:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCF610>, 'Connection to 38.156.74.164 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.461 | ERROR    | proxy_tester:test_proxy:41 - Proxy 34.203.106.9:80 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A8410>, 'Connection to 34.203.106.9 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.462 | ERROR    | proxy_tester:test_proxy:41 - Proxy 222.68.38.115:1080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A8050>, 'Connection to 222.68.38.115 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.463 | ERROR    | proxy_tester:test_proxy:41 - Proxy 103.132.41.243:8090 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A8550>, 'Connection to 103.132.41.243 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.464 | ERROR    | proxy_tester:test_proxy:41 - Proxy 161.97.164.142:3128 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCFD90>, 'Connection to 161.97.164.142 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.465 | ERROR    | proxy_tester:test_proxy:41 - Proxy 196.251.222.233:8083 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A82D0>, 'Connection to 196.251.222.233 timed out. (connect timeout=10)')))
